id_projeto,nome_projeto,gerente,data_inicio,data_fim_prevista,custo_orcado,custo_real,percentual_conclusao
1,Expansão Alpha 1,João,2024-07-10,2024-08-29,205000,219985,72
2,Obra Alpha 2,Ricardo,2024-10-02,2024-12-19,65000,69710,28
3,Obra Gama 3,Marina,2024-05-28,2024-09-21,235000,205246,3
4,Expansão Alpha 4,Ricardo,2024-04-12,2024-08-19,450000,496432,44
5,Instalação Alpha 5,Marina,2024-01-19,2024-04-10,205000,240541,33
6,Reforma Gama 6,Ricardo,2024-02-28,2024-04-12,155000,144565,70
7,Obra Alpha 7,Carlos,2024-04-02,2024-06-29,345000,338253,35
8,Reforma Beta 8,Ricardo,2024-01-17,2024-06-15,460000,496774,8
9,Reforma Beta 9,Ana,2024-07-14,2024-09-25,80000,68352,80
10,Obra Gama 10,Ana,2024-09-20,2024-12-17,285000,339311,4
11,Instalação Alpha 11,Ana,2024-04-17,2024-06-21,455000,522448,78
12,Expansão Delta 12,Marina,2024-08-22,2024-11-28,245000,266562,77
13,Instalação Delta 13,Carlos,2024-01-24,2024-05-21,385000,333834,54
14,Obra Alpha 14,Ana,2024-01-02,2024-04-16,200000,236696,45
15,Instalação Delta 15,Ana,2024-04-05,2024-08-16,110000,92729,92
16,Manutenção Gama 16,Ricardo,2024-03-11,2024-04-14,465000,410960,100
17,Manutenção Gama 17,João,2024-05-19,2024-08-25,95000,108671,81
18,Instalação Gama 18,Carlos,2024-06-11,2024-10-07,370000,312281,35
19,Obra Alpha 19,João,2024-10-05,2025-03-19,385000,457519,95
20,Obra Beta 20,Marina,2024-01-15,2024-07-07,85000,99777,52
21,Expansão Alpha 21,João,2024-07-21,2024-09-14,275000,224682,99
22,Instalação Gama 22,Marina,2024-02-21,2024-04-12,210000,211358,51
23,Manutenção Beta 23,Ricardo,2024-06-11,2024-12-06,60000,57693,43
24,Manutenção Alpha 24,Ana,2024-03-15,2024-08-31,375000,441969,15
25,Instalação Gama 25,Carlos,2024-05-01,2024-10-25,275000,325149,20
26,Expansão Beta 26,Ricardo,2024-01-02,2024-05-21,310000,345764,77
27,Obra Gama 27,Carlos,2024-10-18,2024-11-19,300000,254757,54
28,Instalação Delta 28,Carlos,2024-08-14,2025-02-09,350000,325737,66
29,Expansão Alpha 29,Ana,2024-09-23,2025-01-16,340000,289417,48
30,Expansão Delta 30,Carlos,2024-04-11,2024-08-06,240000,267770,61
31,Reforma Beta 31,Ricardo,2024-01-05,2024-02-08,315000,306036,53
32,Reforma Gama 32,Ana,2024-04-24,2024-10-21,415000,350669,37
33,Manutenção Alpha 33,Carlos,2024-03-01,2024-06-11,425000,501344,67
34,Reforma Alpha 34,Carlos,2024-08-16,2024-11-10,280000,278581,84
35,Obra Delta 35,Marina,2024-10-20,2025-02-09,285000,337302,59
36,Manutenção Beta 36,João,2024-02-23,2024-07-05,265000,265953,59
37,Reforma Beta 37,Ricardo,2024-05-19,2024-08-29,160000,158303,64
38,Reforma Gama 38,Carlos,2024-06-30,2024-09-28,465000,442567,79
39,Manutenção Beta 39,Carlos,2024-04-30,2024-09-27,85000,74029,81
40,Expansão Delta 40,Carlos,2024-09-09,2025-02-12,305000,252853,24
41,Manutenção Delta 41,João,2024-04-20,2024-06-27,110000,94398,91
42,Instalação Alpha 42,João,2024-07-21,2024-11-23,435000,359542,100
43,Instalação Gama 43,João,2024-10-05,2025-01-13,445000,427617,53
44,Manutenção Delta 44,João,2024-07-06,2024-12-17,450000,408476,92
45,Obra Delta 45,João,2024-08-31,2024-11-03,60000,55050,90
46,Obra Alpha 46,Ricardo,2024-04-21,2024-10-16,260000,254392,8
47,Obra Alpha 47,João,2024-10-21,2025-04-10,450000,383084,41
48,Reforma Delta 48,Ana,2024-02-08,2024-03-26,245000,205311,16
49,Instalação Gama 49,João,2024-05-15,2024-10-12,245000,243801,53
50,Obra Alpha 50,Carlos,2024-04-02,2024-09-25,80000,73672,37
51,Instalação Beta 51,João,2024-06-16,2024-12-07,440000,464149,20
52,Manutenção Beta 52,Ricardo,2024-07-07,2024-09-03,230000,257119,23
53,Expansão Gama 53,Marina,2024-03-20,2024-09-01,315000,288015,83
54,Obra Alpha 54,Ana,2024-01-13,2024-07-09,170000,169350,62
55,Manutenção Gama 55,Ricardo,2024-09-06,2024-11-23,420000,467970,41
56,Reforma Alpha 56,Ricardo,2024-02-07,2024-05-28,130000,124670,39
57,Manutenção Alpha 57,João,2024-10-03,2025-03-28,385000,359984,90
58,Manutenção Delta 58,João,2024-02-01,2024-03-20,370000,383444,100
59,Manutenção Beta 59,Ana,2024-03-05,2024-08-08,440000,445251,91
60,Expansão Beta 60,Ricardo,2024-03-12,2024-05-06,190000,223581,10
61,Expansão Beta 61,João,2024-03-20,2024-09-10,60000,71428,79
62,Manutenção Alpha 62,Carlos,2024-04-15,2024-09-15,225000,199051,16
63,Reforma Beta 63,Carlos,2024-04-28,2024-10-06,345000,391990,13
64,Instalação Delta 64,Marina,2024-02-26,2024-04-13,155000,125865,81
65,Expansão Gama 65,Carlos,2024-03-08,2024-06-16,325000,342959,89
66,Instalação Gama 66,João,2024-09-17,2024-11-30,425000,475092,8
67,Obra Gama 67,Marina,2024-03-21,2024-06-27,410000,460498,73
68,Instalação Beta 68,Marina,2024-06-04,2024-07-20,420000,447820,76
69,Manutenção Alpha 69,Ricardo,2024-02-10,2024-05-07,440000,426985,75
70,Obra Beta 70,Carlos,2024-01-08,2024-02-21,170000,200234,99
71,Obra Delta 71,Marina,2024-04-13,2024-08-06,170000,159839,63
72,Manutenção Gama 72,Ricardo,2024-01-15,2024-03-09,125000,124801,79
73,Obra Gama 73,Marina,2024-10-13,2024-11-27,160000,167556,89
74,Reforma Alpha 74,Ana,2024-07-28,2024-12-13,130000,138459,92
75,Instalação Gama 75,Ana,2024-06-24,2024-11-28,255000,240398,94
76,Instalação Alpha 76,João,2024-05-14,2024-06-22,140000,136245,97
77,Expansão Delta 77,Marina,2024-03-30,2024-09-19,390000,404970,20
78,Expansão Beta 78,Carlos,2024-04-10,2024-07-22,85000,72133,55
79,Obra Alpha 79,Ana,2024-06-19,2024-11-18,115000,93590,74
80,Instalação Alpha 80,Ricardo,2024-06-08,2024-09-24,485000,426530,47
81,Expansão Beta 81,Ana,2024-09-03,2025-02-19,465000,535435,66
82,Reforma Delta 82,Carlos,2024-04-30,2024-08-25,305000,282538,86
83,Manutenção Alpha 83,Marina,2024-10-10,2025-03-05,335000,368262,6
84,Obra Alpha 84,Ricardo,2024-07-29,2025-01-06,60000,67821,65
85,Reforma Gama 85,João,2024-06-19,2024-11-21,110000,129747,12
86,Expansão Gama 86,Carlos,2024-06-09,2024-10-05,135000,120049,100
87,Expansão Gama 87,Marina,2024-05-04,2024-08-14,455000,470130,32
88,Instalação Alpha 88,Marina,2024-04-02,2024-09-17,140000,160870,56
89,Expansão Alpha 89,Ricardo,2024-10-11,2025-04-03,135000,113117,10
90,Reforma Delta 90,Ana,2024-10-06,2024-11-20,215000,195313,94
91,Expansão Beta 91,Marina,2024-03-04,2024-05-17,275000,290974,51
92,Obra Beta 92,Ana,2024-08-16,2024-10-28,245000,243082,80
93,Obra Delta 93,Carlos,2024-10-21,2024-11-24,360000,328152,57
94,Instalação Gama 94,Ricardo,2024-08-01,2024-10-20,445000,377886,74
95,Reforma Beta 95,João,2024-06-24,2024-08-20,295000,327693,77
96,Manutenção Alpha 96,Ana,2024-05-24,2024-07-27,120000,117894,9
97,Instalação Beta 97,Marina,2024-07-19,2024-12-24,390000,402465,64
98,Reforma Alpha 98,Ana,2024-03-04,2024-07-31,225000,252722,91
99,Expansão Delta 99,Ricardo,2024-09-17,2024-11-14,340000,399365,90
100,Manutenção Beta 100,Carlos,2024-04-09,2024-07-15,135000,148129,70
101,Manutenção Beta 101,Carlos,2024-06-11,2024-10-20,200000,209629,61
102,Instalação Alpha 102,João,2024-03-17,2024-05-24,105000,107956,62
103,Instalação Alpha 103,Ana,2024-04-06,2024-09-05,245000,260310,56
104,Instalação Alpha 104,Marina,2024-10-25,2025-01-11,65000,60988,87
105,Instalação Delta 105,João,2024-09-17,2024-10-21,425000,448558,8
106,Expansão Alpha 106,Marina,2024-10-19,2025-02-10,295000,350670,76
107,Expansão Delta 107,Marina,2024-01-24,2024-03-21,245000,265694,67
108,Expansão Delta 108,João,2024-10-15,2025-04-08,125000,124593,31
109,Manutenção Beta 109,João,2024-03-17,2024-06-02,95000,85020,62
110,Instalação Beta 110,João,2024-01-08,2024-06-04,315000,277943,90
111,Reforma Alpha 111,Carlos,2024-02-18,2024-07-02,170000,195524,44
112,Reforma Delta 112,Marina,2024-07-22,2024-12-03,365000,426887,98
113,Expansão Alpha 113,João,2024-08-23,2025-01-26,475000,410994,65
114,Manutenção Gama 114,Ricardo,2024-02-20,2024-07-03,115000,134370,73
115,Instalação Alpha 115,Carlos,2024-08-16,2024-11-03,450000,382940,3
116,Manutenção Gama 116,João,2024-05-22,2024-07-18,185000,164127,41
117,Instalação Beta 117,Ricardo,2024-08-04,2024-12-31,125000,103531,99
118,Reforma Gama 118,Ricardo,2024-04-10,2024-09-22,460000,381085,100
119,Instalação Beta 119,Ricardo,2024-09-20,2024-12-31,205000,241287,1
120,Reforma Beta 120,Carlos,2024-07-22,2024-10-01,245000,221059,39
121,Instalação Alpha 121,João,2024-06-27,2024-09-13,350000,319560,39
